WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,01/02/2026,WTA500,Outdoor,Hard,1st Round,3,Samsonova L.,Kenin S.,18,28,2062,1567,6,4,6,0,,,2,0,Completed,1.5,2.63,,,1.5,2.75,1.47,2.59,1.53,2.84
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,01/02/2026,WTA500,Outdoor,Hard,1st Round,3,Kessler M.,Pavlyuchenkova A.,32,100,1395,765,6,3,6,3,,,2,0,Completed,1.44,2.75,,,1.46,3,1.41,2.79,1.45,3.05
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,01/02/2026,WTA500,Outdoor,Hard,1st Round,3,Fernandez L.A.,Paquet C.,25,220,1701,323,6,0,6,3,,,2,0,Completed,1.17,5,,,1.17,19,1.16,7.5,,
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,01/02/2026,WTA500,Outdoor,Hard,1st Round,3,Baptiste H.,Kostovic T.,56,171,1071,416,4,6,6,3,6,4,2,1,Completed,1.25,4,,,1.3,4,1.28,3.6,1.32,3.95
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,02/02/2026,WTA500,Outdoor,Hard,1st Round,3,Bejlek S.,Krueger A.,101,55,753,1086,6,3,6,0,,,2,0,Completed,2.1,1.73,,,2.17,1.76,2.07,1.73,2.22,1.8
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,02/02/2026,WTA500,Outdoor,Hard,1st Round,3,Sasnovich A.,Badosa P.,109,65,710,966,6,4,3,6,6,1,2,1,Completed,3,1.4,,,3,1.47,2.86,1.39,3.05,1.47
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,02/02/2026,WTA500,Outdoor,Hard,1st Round,3,Kartal S.,Bucsa C.,61,57,1004,1069,6,3,7,6,,,2,0,Completed,1.4,3,,,1.42,3,1.4,2.84,1.43,3.2
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,02/02/2026,WTA500,Outdoor,Hard,1st Round,3,Waltert S.,Kasatkina D.,94,62,786,997,7,6,3,6,6,4,2,1,Completed,2.5,1.53,,,2.55,1.56,2.45,1.53,2.56,1.6
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,02/02/2026,WTA500,Outdoor,Hard,1st Round,3,Tjen J.,Joint M.,47,29,1139,1549,7,6,3,6,6,3,2,1,Completed,1.8,2,,,1.84,2.2,1.76,2.02,1.81,2.18
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,02/02/2026,WTA500,Outdoor,Hard,1st Round,3,Yastremska D.,Haddad Maia B.,43,68,1175,932,6,2,7,5,,,2,0,Completed,1.57,2.38,,,1.67,2.38,1.6,2.27,1.69,2.42
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,02/02/2026,WTA500,Outdoor,Hard,1st Round,3,Ostapenko J.,Selekhmeteva O.,24,76,1801,868,5,7,7,6,6,2,2,1,Completed,1.8,2,,,2.3,2,1.97,1.81,2.1,1.88
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,02/02/2026,WTA500,Outdoor,Hard,1st Round,3,Eala A.,Sonmez Z.,45,79,1163,854,6,4,6,3,,,2,0,Completed,2,1.8,,,2.1,2,1.99,1.79,2.2,1.82
6,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,03/02/2026,WTA500,Outdoor,Hard,2nd Round,3,Samsonova L.,Tjen J.,18,47,2062,1139,6,2,6,2,,,2,0,Completed,1.53,2.5,,,1.63,2.63,1.52,2.48,1.6,2.6
